GRIEVABLE CATEGORIES,
Classification/SRG,31
Clothing,59
Commissary,321
Correspondence/Mail,262
Employment,144
Environmental,564
Food,381
Person in Custody Account,201
Jail Time,51
Language Access,0
Laundry,51
Law Library,130
"Medical(DOC RELATED & H&H RELATED)","2,058"
Mental Health,333
Personal Hygiene,151
Phone,45
Programs,76
Property,190
Recreation,114
Religion,82
Rules & Regulations,2
School,5
Search,56
Social Services,91
Tablet,9
Transportation,34
Visit,216
Other Request,"1,785"
