GRIEVABLE CATEGORIES,
Classification/SRG,31
Clothing,45
Commissary,140
Correspondence/Mail,440
Employment,98
Environmental,628
Food,331
Incarcerated Individual Account,241
Jail Time,43
Language Access,0
Laundry,72
Law Library,158
"Medical(DOC RELATED & H&H RELATED)",1993
Mental Health,325
Personal Hygiene,139
Phone,48
Programs,125
Property,212
Recreation,153
Religion,38
Rules & Regulations,3
School,4
Search,10
Social Services,106
Tablet,0
Transportation,11
Visit,233
Other Request,356
